,SPY,QQQ,TLT,GLD,USO
2014-12-04,0.050197781233641305,0.0702607024139003,0.09838147937087338,0.2556087217811161,0.3742777265180969
2014-12-05,0.04920269584641802,0.07040149282290079,0.09774894826362315,0.26131374260830426,0.3748881432258789
2014-12-08,0.05659166311150699,0.07673626373085675,0.09879649744191042,0.24576418909608092,0.38959567687453145
2014-12-09,0.056117846505720444,0.07660973389838521,0.09145138617602389,0.2384088748975614,0.3975029538638183
2014-12-10,0.08142442065386415,0.09752673857271586,0.09317719991352046,0.23559796146566614,0.4073715241335224
2014-12-11,0.08348157425831015,0.09859875955044976,0.09258732540613819,0.23469877017263646,0.4104952567709011
2014-12-12,0.10124293382348747,0.10566573443618688,0.10042358234037763,0.23538997229406208,0.41286888535435395
2014-12-15,0.10340058526290255,0.11089956768510022,0.10185094047077017,0.2401138392457549,0.40621036857300113
2014-12-16,0.10594988045412988,0.1233523291440031,0.10520080663270669,0.24026798439275437,0.41582042764174076
2014-12-17,0.1278076294823009,0.13854405283586813,0.11428004773705212,0.2392185055354862,0.41968274273875905
2014-12-18,0.15676240168940814,0.1634868638035734,0.13241650090026655,0.23663790027077913,0.4186662251183924
2014-12-19,0.15729415814941583,0.16346889824806662,0.13785666372633532,0.23422235396218738,0.48251731648638685
2014-12-22,0.1570127739307888,0.16354425976382878,0.13740205836289587,0.24331044161683546,0.4871840827089868
2014-12-23,0.15681544830603877,0.16184700646691538,0.15878071732489138,0.2434589044884965,0.5144358030088301
2014-12-24,0.15676176277972775,0.16178145190835436,0.15747286443563743,0.24319976495693116,0.5141532943494936
2014-12-26,0.1568965231815585,0.16212079202269164,0.15762284750424896,0.25259921224754445,0.5130567141227668
2014-12-29,0.15660703315055508,0.16119268261905273,0.1573998269117233,0.23598458748199172,0.44575865197016123
2014-12-30,0.15568083423327705,0.1577574511502039,0.15508443858579488,0.19261697926480223,0.4223172260779936
2014-12-31,0.1585663279850469,0.16104103751625157,0.1489639684246339,0.19409986052333397,0.42179062601914935
2015-01-02,0.15789280090532753,0.1609473761772836,0.1520816714627747,0.1907762782696627,0.42175607058214026
2015-01-05,0.17007717786066331,0.16811196999197853,0.15778338684172358,0.19857005712933626,0.4483938957374951
2015-01-06,0.17221387454339895,0.17299932093893425,0.1624159741108228,0.19665267740604714,0.45705056148443435
2015-01-07,0.1781338036894854,0.18010454535396067,0.16109733859922554,0.1940588770494101,0.46053922937997643
2015-01-08,0.18980831764735195,0.19381144745387494,0.1716882325142479,0.17878723048225215,0.45894492918910307
2015-01-09,0.18271279179198877,0.1869110110474406,0.17346041682032937,0.18394103275389834,0.4493086616453704
2015-01-12,0.18426559535040876,0.18945482676457442,0.17370396173919486,0.18804044619650634,0.4648223046915998
2015-01-13,0.1746151531733879,0.18570036660777633,0.16936136474610744,0.18827089221976706,0.46623082381137576
2015-01-14,0.1741654010775229,0.18302728552711084,0.16952854565729258,0.16147120224284345,0.48158453859994754
2015-01-15,0.17496583255752163,0.17977394045143932,0.17244289741167643,0.1817494901954616,0.4948759503063454
2015-01-16,0.16695488956544943,0.1724479757447875,0.17634737193698366,0.18243332361758383,0.5377744270900452
